"country_code","log_recent","latitude","longitude","cluster"
"ABW",9.54958043944427,12.52111,-69.968338,1
"AND",9.52530803859472,42.546245,1.601554,3
"ASM",8.94001815500766,-14.270972,-170.132217,1
"ATG",9.27131486968369,17.060816,-61.796428,1
"BDI",9.52358036651972,-3.373056,29.918886,3
"BLZ",9.45186432158535,17.189877,-88.49765,1
"BRB",9.75587104605506,13.193887,-59.543198,1
"BTN",9.44216669337932,27.514162,90.433601,2
"CAF",9.37705453053388,6.611111,20.939444,3
"COM",9.09430318083232,-11.875001,43.872219,3
"CPV",9.34769333052382,16.002082,-24.013197,3
"CYM",9.83536250007284,19.513469,-80.566956,1
"DJI",9.54593877929767,11.825138,42.590275,3
"DMA",8.78350391646854,15.414999,-61.370976,1
"FJI",9.69722755901027,-16.578193,179.414413,2
"FRO",9.5509531827201,61.892635,-6.911806,3
"FSM",8.62736585659273,7.425554,150.550812,2
"GMB",9.33988741773813,13.443182,-15.310139,3
"GNB",9.21313484919029,11.803749,-15.180413,3
"GRD",9.08471178371946,12.262776,-61.604171,1
"GRL",9.50998294629404,71.706936,-42.604303,1
"GUM",9.78696425943573,13.444304,144.793731,2
"KIR",8.34899181793468,-3.370417,-168.734039,1
"KNA",8.98481473687537,17.357822,-62.782998,1
"LBR",9.60217364977742,6.428055,-9.429499,3
"LCA",9.36990270633063,13.909444,-60.978893,1
"LSO",9.34956931499009,-29.609988,28.233608,3
"MDV",9.79033012188156,3.202778,73.22068,3
"MHL",8.41292143632844,7.131474,171.184478,2
"MNE",9.79447421459824,42.708678,19.37439,3
"NRU",8.18083624635817,-0.522778,166.931503,2
"PLW",8.36717511180998,7.51498,134.58252,2
"PYF",9.76452441564414,-17.679742,-149.406843,1
"SLB",9.20336048178067,-9.64571,160.156194,2
"SLE",9.61220764882465,8.460555,-11.779889,3
"SMR",9.26843353398116,43.94236,12.457777,3
"STP",8.73454939939324,0.18636,6.613081,3
"SUR",9.55882708476157,3.919305,-56.027783,1
"SWZ",9.68041910620551,-26.522503,31.465866,3
"SYC",9.20097030756175,-4.679574,55.491977,3
"TCA",9.05645084537137,21.694025,-71.797928,1
"TLS",9.50579456275631,-8.874217,125.727539,2
"TON",8.67138412295883,-21.178986,-175.198242,1
"TUV",7.77133740682083,-7.109535,177.64933,2
"VCT",8.97706446771322,12.984305,-61.287228,1
"VIR",9.64777405026883,18.335765,-64.896335,1
"VUT",9.02358648010346,-15.376706,166.959158,2
"WSM",8.92061643277279,-13.759029,-172.104629,1
